State,Year,Section_raw,Category_or_Location,Value,Note,Note2,Section,Category_or_Place
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Oxford,116,,,Top Recovery Cities in State,Oxford
Alabama,2021,Firearm Types with an Alabama Recovery,Pistols,6888,,,Firearms Types Recovered in State,Pistols
Alabama,2021,Firearm Types with an Alabama Recovery,Revolvers,804,,,Firearms Types Recovered in State,Revolvers
Alabama,2021,Firearm Types with an Alabama Recovery,Rifles,702,,,Firearms Types Recovered in State,Rifles
Alabama,2021,Firearm Types with an Alabama Recovery,Shotguns,378,,,Firearms Types Recovered in State,Shotguns
Alabama,2021,Firearm Types with an Alabama Recovery,Derringers,43,,,Firearms Types Recovered in State,Derringers
Alabama,2021,Firearm Types with an Alabama Recovery,Machineguns,16,,,Firearms Types Recovered in State,Machineguns
Alabama,2021,Firearm Types with an Alabama Recovery,Unknown Types,7,,,Firearms Types Recovered in State,Unknown Types
Alabama,2021,Firearm Types with an Alabama Recovery,Other*,9,"* Other includes Any Other Weapons, Silencers, Receivers/Frames and a Flare Gun.",,Firearms Types Recovered in State,Other*
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,9mm,3851,,,Top Calibers Reported,9mm
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.40 Cal,1043,,,Top Calibers Reported,.40 Cal
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.380 Cal,735,,,Top Calibers Reported,.380 Cal
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.22 Cal,674,,,Top Calibers Reported,.22 Cal
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.45 Cal,447,,,Top Calibers Reported,.45 Cal
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.38 Cal,382,,,Top Calibers Reported,.38 Cal
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,12GA,282,,,Top Calibers Reported,12GA
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,5.56mm,200,,,Top Calibers Reported,5.56mm
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,7.62mm,175,,,Top Calibers Reported,7.62mm
Alabama,2021,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,MULTI,153,NOTE:  There were 867 additional traces that were associated with other calibers.​ There were 38 traces with an unknown caliber.,,Top Calibers Reported,MULTI
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Possession of Weapon,1501,,,Top Crimes Reported,Possession of Weapon
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Firearm Under Investigation,1396,,,Top Crimes Reported,Firearm Under Investigation
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Found Firearm,1214,,,Top Crimes Reported,Found Firearm
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Dangerous Drugs,1046,,,Top Crimes Reported,Dangerous Drugs
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Weapon Offense,676,,,Top Crimes Reported,Weapon Offense
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Carrying Concealed Weapon,641,,,Top Crimes Reported,Carrying Concealed Weapon
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Property Crimes,405,,,Top Crimes Reported,Property Crimes
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Family Offense,307,,,Top Crimes Reported,Family Offense
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Health - Safety,307,,,Top Crimes Reported,Health - Safety
Alabama,2021,Top Categories Reported on Firearm Traces with an Alabama Recovery,Homicide,293,"NOTE: There were 1,061 additional traces that were associated with other categories.",,Top Crimes Reported,Homicide
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Alabama,6377,,,Top States Where Firearms Came From,Alabama
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Georgia,339,,,Top States Where Firearms Came From,Georgia
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Mississippi,219,,,Top States Where Firearms Came From,Mississippi
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Florida,128,,,Top States Where Firearms Came From,Florida
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Tennessee,112,,,Top States Where Firearms Came From,Tennessee
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Texas,88,,,Top States Where Firearms Came From,Texas
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Louisiana,62,,,Top States Where Firearms Came From,Louisiana
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Kentucky,30,,,Top States Where Firearms Came From,Kentucky
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Virginia,26,,,Top States Where Firearms Came From,Virginia
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,North Carolina,25,,,Top States Where Firearms Came From,North Carolina
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Indiana,23,,,Top States Where Firearms Came From,Indiana
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,South Carolina,23,,,Top States Where Firearms Came From,South Carolina
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Illinois,22,,,Top States Where Firearms Came From,Illinois
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Ohio,22,,,Top States Where Firearms Came From,Ohio
Alabama,2021,Top 15 Source States for Firearms with an Alabama Recovery,Missouri,20,"NOTE: An additional 29 states accounted for 160 other traces. The source state was identified in 7,676 total traces.",,Top States Where Firearms Came From,Missouri
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,Under 3 Months,903,,,Time-to-Crime for Firearms Recovered in State,Under 3 Months
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Months to Under 7 Months,784,,,Time-to-Crime for Firearms Recovered in State,3 Months to Under 7 Months
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,7 Months to Under 1 Year,857,,,Time-to-Crime for Firearms Recovered in State,7 Months to Under 1 Year
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,1 Year to Under 2 Years,1236,,,Time-to-Crime for Firearms Recovered in State,1 Year to Under 2 Years
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,2 Years to Under 3 Years,598,,,Time-to-Crime for Firearms Recovered in State,2 Years to Under 3 Years
Alabama,2021,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Years and Over,3081,1/1/2021-12/31/2021 Alabama Average Time-to-Crime: 5.62 Years,1/1/2021-12/31/2021 National Average Time-to-Crime: 6.24 Years,Time-to-Crime for Firearms Recovered in State,3 Years and Over
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,17 and Under,178,,,Age of Possessors,17 and Under
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,18 to 21,983,,,Age of Possessors,18 to 21
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,22 to 24,913,,,Age of Possessors,22 to 24
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,25 to 30,1378,,,Age of Possessors,25 to 30
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,31 to 40,1424,,,Age of Possessors,31 to 40
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,41 to 50,706,,,Age of Possessors,41 to 50
Alabama,2021,Age of Possessors for Firearms with an Alabama Recovery,Over 50,474,1/1/2021-12/31/2021 Alabama Average Age of Possessor: 32 Years,1/1/2021-12/31/2021 National Average Age of Possessor: 34 Years,Age of Possessors,Over 50
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Mobile,1694,,,Top Recovery Cities in State,Mobile
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Huntsville,1506,,,Top Recovery Cities in State,Huntsville
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Tuscaloosa,631,,,Top Recovery Cities in State,Tuscaloosa
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Birmingham,570,,,Top Recovery Cities in State,Birmingham
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Oxford,210,,,Top Recovery Cities in State,Oxford
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Opelika,204,,,Top Recovery Cities in State,Opelika
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Hoover,201,,,Top Recovery Cities in State,Hoover
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Montgomery,188,,,Top Recovery Cities in State,Montgomery
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Phenix City,168,,,Top Recovery Cities in State,Phenix City
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Gadsden,164,,,Top Recovery Cities in State,Gadsden
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Troy,164,,,Top Recovery Cities in State,Troy
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Selma,155,,,Top Recovery Cities in State,Selma
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Anniston,118,,,Top Recovery Cities in State,Anniston
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Vestavia Hills,111,,,Top Recovery Cities in State,Vestavia Hills
Alabama,2021,Top Recovery Cities for Firearms with an Alabama Recovery,Thomasville,104,,,Top Recovery Cities in State,Thomasville
Alabama,2022,Firearm Types with an Alabama Recovery,Pistols,8089,,,Firearms Types Recovered in State,Pistols
Alabama,2022,Firearm Types with an Alabama Recovery,Rifles,964,,,Firearms Types Recovered in State,Rifles
Alabama,2022,Firearm Types with an Alabama Recovery,Revolvers,877,,,Firearms Types Recovered in State,Revolvers
Alabama,2022,Firearm Types with an Alabama Recovery,Shotguns,457,,,Firearms Types Recovered in State,Shotguns
Alabama,2022,Firearm Types with an Alabama Recovery,Derringers,51,,,Firearms Types Recovered in State,Derringers
Alabama,2022,Firearm Types with an Alabama Recovery,Receivers/Frames,46,,,Firearms Types Recovered in State,Receivers/Frames
Alabama,2022,Firearm Types with an Alabama Recovery,Other*,35,"* Other includes Machineguns, Silencers, Unknown Types and Any Other Weapons.",,Firearms Types Recovered in State,Other*
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,9mm,4597,,,Top Calibers Reported,9mm
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.40 Cal,1219,,,Top Calibers Reported,.40 Cal
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.380 Cal,804,,,Top Calibers Reported,.380 Cal
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.22 Cal,731,,,Top Calibers Reported,.22 Cal
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.45 Cal,475,,,Top Calibers Reported,.45 Cal
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.38 Cal,404,,,Top Calibers Reported,.38 Cal
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,12GA,334,,,Top Calibers Reported,12GA
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,5.56mm,262,,,Top Calibers Reported,5.56mm
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,7.62mm,212,,,Top Calibers Reported,7.62mm
Alabama,2022,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,MULTI,199,"NOTE:  There were 1,110 additional traces that were associated with other calibers.​ There were 172 traces with an unknown caliber.",,Top Calibers Reported,MULTI
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Possession of Weapon,2130,,,Top Crimes Reported,Possession of Weapon
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Firearm Under Investigation,1702,,,Top Crimes Reported,Firearm Under Investigation
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Found Firearm,1603,,,Top Crimes Reported,Found Firearm
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Weapon Offense,1313,,,Top Crimes Reported,Weapon Offense
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Dangerous Drugs,1011,,,Top Crimes Reported,Dangerous Drugs
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Property Crimes,423,,,Top Crimes Reported,Property Crimes
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Carrying Concealed Weapon,413,,,Top Crimes Reported,Carrying Concealed Weapon
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Family Offense,377,,,Top Crimes Reported,Family Offense
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Homicide,267,,,Top Crimes Reported,Homicide
Alabama,2022,Top Categories Reported on Firearm Traces with an Alabama Recovery,Traffic Offense,192,"NOTE: There were 1,088 additional traces that were associated with other categories.",,Top Crimes Reported,Traffic Offense
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Alabama,7520,,,Top States Where Firearms Came From,Alabama
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Georgia,343,,,Top States Where Firearms Came From,Georgia
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Mississippi,263,,,Top States Where Firearms Came From,Mississippi
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Florida,185,,,Top States Where Firearms Came From,Florida
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Tennessee,152,,,Top States Where Firearms Came From,Tennessee
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Texas,89,,,Top States Where Firearms Came From,Texas
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Louisiana,69,,,Top States Where Firearms Came From,Louisiana
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,North Carolina,46,,,Top States Where Firearms Came From,North Carolina
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,South Carolina,41,,,Top States Where Firearms Came From,South Carolina
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Kentucky,34,,,Top States Where Firearms Came From,Kentucky
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Missouri,29,,,Top States Where Firearms Came From,Missouri
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Indiana,27,,,Top States Where Firearms Came From,Indiana
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Ohio,25,,,Top States Where Firearms Came From,Ohio
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Arkansas,23,,,Top States Where Firearms Came From,Arkansas
Alabama,2022,Top 15 Source States for Firearms with an Alabama Recovery,Virginia,23,"NOTE: An additional 32 states accounted for 218 other traces. The source state was identified in 9,087 total traces.",,Top States Where Firearms Came From,Virginia
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,Under 3 Months,863,,,Time-to-Crime for Firearms Recovered in State,Under 3 Months
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Months to Under 7 Months,677,,,Time-to-Crime for Firearms Recovered in State,3 Months to Under 7 Months
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,7 Months to Under 1 Year,852,,,Time-to-Crime for Firearms Recovered in State,7 Months to Under 1 Year
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,1 Year to Under 2 Years,1645,,,Time-to-Crime for Firearms Recovered in State,1 Year to Under 2 Years
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,2 Years to Under 3 Years,1026,,,Time-to-Crime for Firearms Recovered in State,2 Years to Under 3 Years
Alabama,2022,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Years and Over,3878,1/1/2022-12/31/2022 Alabama Average Time-to-Crime: 5.85 Years,1/1/2022-12/31/2022 National Average Time-to-Crime: 6.34 Years,Time-to-Crime for Firearms Recovered in State,3 Years and Over
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,17 and Under,233,,,Age of Possessors,17 and Under
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,18 to 21,1084,,,Age of Possessors,18 to 21
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,22 to 24,891,,,Age of Possessors,22 to 24
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,25 to 30,1526,,,Age of Possessors,25 to 30
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,31 to 40,1513,,,Age of Possessors,31 to 40
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,41 to 50,1419,,,Age of Possessors,41 to 50
Alabama,2022,Age of Possessors for Firearms with an Alabama Recovery,Over 50,618,1/1/2022-12/31/2022 Alabama Average Age of Possessor: 34 Years,1/1/2022-12/31/2022 National Average Age of Possessor: 34 Years,Age of Possessors,Over 50
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Mobile,1734,,,Top Recovery Cities in State,Mobile
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Huntsville,1408,,,Top Recovery Cities in State,Huntsville
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Montgomery,784,,,Top Recovery Cities in State,Montgomery
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Tuscaloosa,624,,,Top Recovery Cities in State,Tuscaloosa
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Birmingham,617,,,Top Recovery Cities in State,Birmingham
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Foley,316,,,Top Recovery Cities in State,Foley
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Albertville,278,,,Top Recovery Cities in State,Albertville
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Tarrant,258,,,Top Recovery Cities in State,Tarrant
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Hoover,251,,,Top Recovery Cities in State,Hoover
Alabama,2022,Top Recovery Cities for Firearms with an Alabama Recovery,Opelika,238,,,Top Recovery Cities in State,Opelika
Alabama,2023,Firearm Types with an Alabama Recovery,Pistols,7771,,,Firearms Types Recovered in State,Pistols
Alabama,2023,Firearm Types with an Alabama Recovery,Rifles,988,,,Firearms Types Recovered in State,Rifles
Alabama,2023,Firearm Types with an Alabama Recovery,Revolvers,756,,,Firearms Types Recovered in State,Revolvers
Alabama,2023,Firearm Types with an Alabama Recovery,Shotguns,560,,,Firearms Types Recovered in State,Shotguns
Alabama,2023,Firearm Types with an Alabama Recovery,Receivers/Frames,214,,,Firearms Types Recovered in State,Receivers/Frames
Alabama,2023,Firearm Types with an Alabama Recovery,Machinegun Conversion Devices,60,,,Firearms Types Recovered in State,Machinegun Conversion Devices
Alabama,2023,Firearm Types with an Alabama Recovery,Derringers,41,,,Firearms Types Recovered in State,Derringers
Alabama,2023,Firearm Types with an Alabama Recovery,Machineguns,37,,,Firearms Types Recovered in State,Machineguns
